任务3：东方财富概念资金流入情况
================================================================================

📊 东方财富概念板块资金流入情况
分析日期: 20251203
板块数量: 441

排名     板块代码            板块名称                      主力净流入(万)           超大单(万)          大单(万)           中单(万)           小单(万)          
365    BK0964.DC       6G概念                                 0.00          0.00          0.00          0.00          0.00
366    BK0611.DC       上证50_                                0.00          0.00          0.00          0.00          0.00
367    BK1055.DC       虚拟数字人                                0.00          0.00          0.00          0.00          0.00
368    BK0809.DC       AI智能体                                0.00          0.00          0.00          0.00          0.00
369    BK1184.DC       人形机器人                                0.00          0.00          0.00          0.00          0.00
370    BK0835.DC       独角兽                                  0.00          0.00          0.00          0.00          0.00
371    BK0705.DC       上证380                                0.00          0.00          0.00          0.00          0.00
372    BK0832.DC       工业互联                                 0.00          0.00          0.00          0.00          0.00
373    BK0628.DC       智慧城市                                 0.00          0.00          0.00          0.00          0.00
374    BK0662.DC       在线教育                                 0.00          0.00          0.00          0.00          0.00
375    BK0999.DC       茅指数                                  0.00          0.00          0.00          0.00          0.00
376    BK0860.DC       边缘计算                                 0.00          0.00          0.00          0.00          0.00
377    BK0590.DC       西部大开发                                0.00          0.00          0.00          0.00          0.00
378    BK0920.DC       车联网(车路云)                             0.00          0.00          0.00          0.00          0.00
379    BK1061.DC       数字经济                                 0.00          0.00          0.00          0.00          0.00
380    BK0815.DC       昨日涨停                                 0.00          0.00          0.00          0.00          0.00
381    BK0963.DC       商业航天                                 0.00          0.00          0.00          0.00          0.00
382    BK1178.DC       AI眼镜                                 0.00          0.00          0.00          0.00          0.00
383    BK0536.DC       基金重仓                                 0.00          0.00          0.00          0.00          0.00
384    BK0704.DC       无人机                                  0.00          0.00          0.00          0.00          0.00
385    BK0689.DC       阿里概念                                 0.00          0.00          0.00          0.00          0.00
386    BK0641.DC       智能穿戴                                 0.00          0.00          0.00          0.00          0.00
387    BK1134.DC       算力概念                                 0.00          0.00          0.00          0.00          0.00
388    BK1050.DC       昨日涨停_含一字                             0.00          0.00          0.00          0.00          0.00
389    BK1005.DC       专精特新                                 0.00          0.00          0.00          0.00          0.00
390    BK1009.DC       元宇宙概念                                0.00          0.00          0.00          0.00          0.00
391    BK0490.DC       军工                                   0.00          0.00          0.00          0.00          0.00
392    BK0506.DC       创投                                   0.00          0.00          0.00          0.00          0.00
393    BK1194.DC       2025中报预增                             0.00          0.00          0.00          0.00          0.00
394    BK0968.DC       固态电池                                 0.00          0.00          0.00          0.00          0.00
395    BK1111.DC       AIGC概念                               0.00          0.00          0.00          0.00          0.00
396    BK0638.DC       创业成份                                 0.00          0.00          0.00          0.00          0.00
397    BK0845.DC       百度概念                                 0.00          0.00          0.00          0.00          0.00
398    BK0637.DC       互联金融                                 0.00          0.00          0.00          0.00          0.00
399    BK0594.DC       长江三角                                 0.00          0.00          0.00          0.00          0.00
400    BK0712.DC       一带一路                                 0.00          0.00          0.00          0.00          0.00
401    BK0644.DC       特斯拉                                  0.00          0.00          0.00          0.00          0.00
402    BK0696.DC       国产软件                                 0.00          0.00          0.00          0.00          0.00
403    BK0893.DC       无线耳机                                 0.00          0.00          0.00          0.00          0.00
404    BK0743.DC       深证100R                               0.00          0.00          0.00          0.00          0.00
405    BK1059.DC       百元股                                  0.00          0.00          0.00          0.00          0.00
406    BK0722.DC       虚拟现实                                 0.00          0.00          0.00          0.00          0.00
407    BK0655.DC       网络安全                                 0.00          0.00          0.00          0.00          0.00
408    BK0612.DC       上证180_                               0.00          0.00          0.00          0.00          0.00
409    BK1188.DC       DeepSeek概念                           0.00          0.00          0.00          0.00          0.00
410    BK0989.DC       储能                                   0.00          0.00          0.00          0.00          0.00
411    BK0499.DC       AH股                                  0.00          0.00          0.00          0.00          0.00
412    BK0922.DC       数据中心                                 0.00          0.00          0.00          0.00          0.00
413    BK0802.DC       无人驾驶                                 0.00          0.00          0.00          0.00          0.00
414    BK0549.DC       深圳特区                                 0.00          0.00          0.00          0.00          0.00
415    BK1166.DC       低空经济                                 0.00          0.00          0.00          0.00          0.00
416    BK0917.DC       半导体概念                                0.00          0.00          0.00          0.00          0.00
417    BK0830.DC       区块链                                  0.00          0.00          0.00          0.00          0.00
418    BK0718.DC       证金持股                                 0.00          0.00          0.00          0.00          0.00
419    BK0554.DC       物联网                                  0.00          0.00          0.00          0.00          0.00
420    BK0574.DC       锂电池                                  0.00          0.00          0.00          0.00          0.00
421    BK1090.DC       机器人概念                                0.00          0.00          0.00          0.00          0.00
422    BK0634.DC       大数据                                  0.00          0.00          0.00          0.00          0.00
423    BK1104.DC       信创                                   0.00          0.00          0.00          0.00          0.00
424    BK0714.DC       5G概念                                 0.00          0.00          0.00          0.00          0.00
425    BK0579.DC       云计算                                  0.00          0.00          0.00          0.00          0.00
426    BK0701.DC       中证500                                0.00          0.00          0.00          0.00          0.00
427    BK0900.DC       新能源车                                 0.00          0.00          0.00          0.00          0.00
428    BK0891.DC       国产芯片                                 0.00          0.00          0.00          0.00          0.00
429    BK0683.DC       央国企改革                                0.00          0.00          0.00          0.00          0.00
430    BK0500.DC       HS300_                               0.00          0.00          0.00          0.00          0.00
431    BK0552.DC       机构重仓                                 0.00          0.00          0.00          0.00          0.00
432    BK0854.DC       华为概念                                 0.00          0.00          0.00          0.00          0.00
433    BK0800.DC       人工智能                                 0.00          0.00          0.00          0.00          0.00
434    BK0742.DC       创业板综                                 0.00          0.00          0.00          0.00          0.00
435    BK0707.DC       沪股通                                  0.00          0.00          0.00          0.00          0.00
436    BK0568.DC       深成500                                0.00          0.00          0.00          0.00          0.00
437    BK0821.DC       MSCI中国                               0.00          0.00          0.00          0.00          0.00
438    BK0879.DC       标准普尔                                 0.00          0.00          0.00          0.00          0.00
439    BK0804.DC       深股通                                  0.00          0.00          0.00          0.00          0.00
440    BK0867.DC       富时罗素                                 0.00          0.00          0.00          0.00          0.00
441    BK0596.DC       融资融券                                 0.00          0.00          0.00          0.00          0.00
